code,animal_proportion,fao_subgroup_code,has_fish,has_meat_or_poultry,has_seafood,name,ep_phd_poultry,ep_phd_dairy,ep_phd_nuts,ep_phd_fruits,ep_phd_eggs,ep_phd_vegetables,ep_phd_animal_fats,ep_phd_plant_oils_saturated,ep_phd_meat,ep_phd_tubers_roots,ep_phd_refined_grains,ep_phd_none,ep_phd_plant_oils_unsaturated,ep_phd_legumes,ep_phd_sugar,ep_phd_whole_grains,ep_phd_fish,ep_phd_alcohol
F033382,1.0,602,True,False,False,"Lohi, lämminsavustettu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F033386,0.0,1805,False,False,False,"Misokeitto, miso shiru, sisältää tofua",,,,,,,,,,,,,,,,,,0.0
F033390,0.51,501,False,False,False,"Munakas, tamago, japanilainen munakas",,,,,,,,,,,,,,,,,,0.0
F033394,0.0,1809,False,False,False,"Sushi, levärulla, kurkku, maki",,,,,,,,,,,,,,,,,,0.0
F033402,0.0,103,False,False,False,"Mannapuuro, vatkattu, puolukka, vispipuuro, pirkka/saarioinen",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033404,0.7,402,False,False,False,"Rahka, maustettu, danio, rasvaa 3 %, ei lisätty d-vitamiinia",,,,,,,,,,,,,,,,,,0.0
F033406,0.75,1801,False,True,False,"Perunalaatikko, jauheliha-pekonikiusaus, hk, valmisateria",,,,,,,,,,,,,,,,,,0.0
F033410,0.6,402,False,False,False,"Jogurtti, maustettu, rasvaa 2 %",0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0
F033414,1.0,602,True,False,False,"Kirjolohifilee, lämminsavustettu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F033419,1.0,602,True,False,False,Kirjolohifilee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F033420,1.0,602,True,False,False,"Lohifilee, kylmäsavustettu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F033424,1.0,603,True,False,False,"Makrilli, savustettu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033428,0.0,1403,False,False,False,"Kahvi, kahvijuoma, murukahvi, pikakahvi, keitetty",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F033432,0.2,1204,False,False,False,"Makeinen, vohvelia ja suklaata, suffeli, fazer",,,,,,,,,,,,,,,,,,0.0
F033433,0.0,1301,False,False,False,"Basilika, kuivattu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F033436,0.0,1003,False,False,False,"Ruusunmarja, kuivattu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033438,0.9,1403,False,False,False,"Erikoiskahvijuoma, caffe latte, makeuttamaton, rasvaton maito",,,,,,,,,,,,,,,,,,0.0
F033439,0.9,1403,False,False,False,"Erikoiskahvijuoma, caffe latte, makeuttamaton, kevytmaito",,,,,,,,,,,,,,,,,,0.0
F033441,0.67,1403,False,False,False,"Kahvi, cappuccino, makeuttamaton, kevytmaito",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033447,0.0,1204,False,False,False,"Makeinen, vaahtokarkki, vaahtokaramelli",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
F033449,1.0,404,False,False,False,"Juusto, tuotekeskiarvo",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033452,0.0,302,False,False,False,"Soijavälipala, hapatettu, maustamaton, rasvaa 2,3 %",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F033453,1.0,402,False,False,False,"Jogurtti, maustettu, activia unelma, rasvaa 3,5 %, probiootteja",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033456,0.0,901,False,False,False,Pinaatti,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033459,0.4,1805,False,True,False,"Hernekeitto, naudanpaistijauheliha",,,,,,,,,,,,,,,,,,0.0
F033465,1.0,404,False,False,False,"Juusto, halloumijuusto, vuohenmaito, rasvaa 22 %",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033466,1.0,401,False,False,False,"Maito, keskiarvo, d-vitamiinia 1 ug",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033472,0.0,1407,False,False,False,"Smoothie, marja/hedelmäjuoma",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033475,0.55,402,False,False,False,"Jogurtti, maustettu, activia vilja, 1,5 %, keinotek. makeutettu, probiootteja",,,,,,,,,,,,,,,,,,0.0
F033477,0.0,906,False,False,False,"Wokatut kasvikset, sipuli, paprika, kesäkurpitsa, porkkana, tomaatti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033478,1.0,603,True,False,False,"Turska, uunissa paistettu, suolaa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033482,0.0,905,False,False,False,"Tapas, marinoidut herkkusienet, oliiviöljy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033484,0.0,905,False,False,False,"Jalapeno, säilyke, etikkaliemi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
